run_id,timestamp,model,dataset,split,normalizer,wer,cer,num_utterances,substitutions,insertions,deletions,rtfx,duration_s
20260409_232342_cpierse_wav2vec2-large-xlsr-53-irish_google_fleurs_test,2026-04-09T23:23:42Z,cpierse/wav2vec2-large-xlsr-53-irish,google/fleurs,test,irish,83.19,41.93,842,14369,2057,1008,568.34,0.0
20260409_232408_Aditya3107_wav2vec2-large-xls-r-1b-ga-ie_cv-corpus-25.0-ga-IE_test,2026-04-09T23:24:08Z,Aditya3107/wav2vec2-large-xls-r-1b-ga-ie,cv-corpus-25.0-ga-IE,test,irish,32.44,12.82,874,1792,118,292,382.86,0.0
20260409_232433_Aditya3107_wav2vec2-large-xls-r-1b-ga-ie_google_fleurs_test,2026-04-09T23:24:33Z,Aditya3107/wav2vec2-large-xls-r-1b-ga-ie,google/fleurs,test,irish,75.8,36.04,842,13013,1290,1582,603.27,0.0
20260409_232450_jimregan_wav2vec2-large-xlsr-irish-basic_cv-corpus-25.0-ga-IE_test,2026-04-09T23:24:50Z,jimregan/wav2vec2-large-xlsr-irish-basic,cv-corpus-25.0-ga-IE,test,irish,48.9,20.31,874,2749,287,283,383.21,0.0
20260409_232516_jimregan_wav2vec2-large-xlsr-irish-basic_google_fleurs_test,2026-04-09T23:25:16Z,jimregan/wav2vec2-large-xlsr-irish-basic,google/fleurs,test,irish,83.01,40.82,842,14295,2056,1045,603.54,0.0
20260410_000430_facebook_omniASR_LLM_300M_v2_cv-corpus-25.0-ga-IE_test,2026-04-10T00:04:30Z,facebook/omniASR_LLM_300M_v2,cv-corpus-25.0-ga-IE,test,irish,37.63,19.18,874,1990,229,335,15.83,0.0
20260410_001859_facebook_omniASR_LLM_300M_v2_google_fleurs_test,2026-04-10T00:18:59Z,facebook/omniASR_LLM_300M_v2,google/fleurs,test,irish,47.68,24.09,842,8049,1026,917,14.72,0.0
20260410_004543_facebook_omniASR_LLM_7B_v2_cv-corpus-25.0-ga-IE_test,2026-04-10T00:45:43Z,facebook/omniASR_LLM_7B_v2,cv-corpus-25.0-ga-IE,test,irish,30.65,14.62,874,1694,166,220,14.13,0.0
20260410_010204_facebook_omniASR_LLM_7B_v2_google_fleurs_test,2026-04-10T01:02:04Z,facebook/omniASR_LLM_7B_v2,google/fleurs,test,irish,39.09,18.63,842,6749,707,736,13.75,0.0
20260411_160329_azure_speech-ga-IE_cv-corpus-25.0-ga-IE_test,2026-04-11T15:03:29Z,azure/speech-ga-IE,cv-corpus-25.0-ga-IE,test,irish,22.25,11.37,874,1070,117,323,4.39,0.0
20260411_164412_azure_speech-ga-IE_google_fleurs_test,2026-04-11T15:44:12Z,azure/speech-ga-IE,google/fleurs,test,irish,57.46,43.75,842,4497,745,6800,5.11,0.0
